code,district,short,parent_code,pinyin,parent_id
110000,北京,京,0,beijing,null
110100,北京市,,110000,beijingshi,1
110101,东城区,,110100,dongchengqu,2
110102,西城区,,110100,xichengqu,2
110103,崇文区,,110100,chongwenqu,2
110104,宣武区,,110100,xuanwuqu,2
110105,朝阳区,,110100,chaoyangqu,2
110106,丰台区,,110100,fengtaiqu,2
110107,石景山区,,110100,shijingshanqu,2
110108,海淀区,,110100,haidianqu,2
110109,门头沟区,,110100,mentougouqu,2
110111,房山区,,110100,fangshanqu,2
110112,通州区,,110100,tongzhouqu,2
110113,顺义区,,110100,shunyiqu,2
110114,昌平区,,110100,changpingqu,2
110115,大兴区,,110100,daxingqu,2
110116,怀柔区,,110100,huairouqu,2
110117,平谷区,,110100,pingguqu,2
110228,密云县,,110100,miyunxian,2
110229,延庆县,,110100,yanqingxian,2
110230,其它区,,110100,qitaqu,2
120000,天津,津,0,tianjin,null
120100,天津市,,120000,tianjinshi,22
120101,和平区,,120100,hepingqu,23
120102,河东区,,120100,hedongqu,23
120103,河西区,,120100,hexiqu,23
120104,南开区,,120100,nankaiqu,23
120105,河北区,,120100,hebeiqu,23
120106,红桥区,,120100,hongqiaoqu,23
120107,塘沽区,,120100,tangguqu,23
120108,汉沽区,,120100,hanguqu,23
120109,大港区,,120100,dagangqu,23
120110,东丽区,,120100,dongliqu,23
120111,西青区,,120100,xiqingqu,23
120112,津南区,,120100,jinnanqu,23
120113,北辰区,,120100,beichenqu,23
120114,武清区,,120100,wuqingqu,23
120115,宝坻区,,120100,baoqu,23
120116,滨海新区,,120100,binhaixinqu,23
120221,宁河县,,120100,ninghexian,23
120223,静海县,,120100,jinghaixian,23
120225,蓟县,,120100,jixian,23
120226,其它区,,120100,qitaqu,23
130000,河北省,冀,0,hebeisheng,null
130100,石家庄市,,130000,shijiazhuangshi,44
130102,长安区,,130100,changanqu,45
130103,桥东区,,130100,qiaodongqu,45
130104,桥西区,,130100,qiaoxiqu,45
130105,新华区,,130100,xinhuaqu,45
130107,井陉矿区,,130100,jingkuangqu,45
130108,裕华区,,130100,yuhuaqu,45
130121,井陉县,,130100,jingxian,45
130123,正定县,,130100,zhengdingxian,45
130124,栾城县,,130100,chengxian,45
130125,行唐县,,130100,xingtangxian,45
130126,灵寿县,,130100,lingshouxian,45
130127,高邑县,,130100,gaoyixian,45
130128,深泽县,,130100,shenzexian,45
130129,赞皇县,,130100,zanhuangxian,45
130130,无极县,,130100,wujixian,45
130131,平山县,,130100,pingshanxian,45
130132,元氏县,,130100,yuanshixian,45
